industry,occupation,yrs_qual,sex,highest_qual,area_of_study,influencing,negotiating,sector,workforce_change,no_subordinates,choose_hours,choose_method,job_quals,qual_needed,experience_needed,keeping_current,satisfaction,advising,instructing,problem_solving_quick,problem_solving_long,labour,manual_skill,computer,group_meetings,computer_level,monthly_salary
I,5,12,2,7,4,5,1,1,2,2,2,2,3,3,3,5,2,5,4,5,3,5,5,2,1,0,3799.333333
K,2,16,1,12,4,1,1,1,3,0,5,5,12,2,6,2,3,5,2,5,3,1,1,1,4,2,4666.666667
Q,5,18,1,13,2,3,1,1,3,0,1,4,7,1,3,5,2,4,4,5,3,5,5,1,2,1,2946.666667
P,2,18,1,13,2,3,2,3,3,3,2,4,13,1,1,4,4,3,5,4,3,2,5,1,2,2,4187.5
P,5,14,2,11,8,5,1,2,3,0,1,3,11,1,3,5,1,5,5,5,4,1,5,1,1,2,1528.833333
K,1,18,1,13,2,5,3,1,1,2,3,5,12,1,5,2,1,3,4,5,4,1,5,1,5,2,6416.666667
G,5,12,1,7,1,5,5,1,1,0,3,4,7,1,5,3,3,5,3,5,3,2,3,1,1,1,4458.333333
G,7,12,1,7,1,1,1,1,3,0,3,3,7,1,3,4,2,5,1,4,4,4,5,1,1,1,1300
K,2,18,2,13,4,5,4,1,3,0,5,5,12,1,5,5,2,5,4,5,4,1,5,1,4,2,3333.333333
P,2,18,2,13,4,5,4,3,3,0,3,4,13,1,6,4,2,5,5,5,5,2,5,1,2,2,5000
R,3,12,1,7,6,1,1,1,3,0,1,1,2,1,1,1,2,1,1,2,1,5,5,2,1,0,953.3333333
Q,3,12,2,7,2,2,1,1,3,1,3,2,7,1,6,2,2,2,2,2,2,1,5,1,1,1,3247.5
Q,9,12,2,7,1,1,1,2,2,0,3,1,7,1,5,1,2,1,1,2,2,5,5,2,1,0,3466.666667
J,2,18,1,13,5,2,1,1,1,0,2,3,12,1,5,2,2,2,2,3,3,1,5,1,5,3,12133.33333
K,1,16,1,12,4,4,4,1,1,4,2,3,12,1,6,3,2,3,3,4,2,1,1,1,2,2,12500
I,5,12,1,7,1,1,1,1,1,0,3,3,7,2,1,2,2,4,2,4,3,5,5,1,1,1,1525.333333
C,2,16,1,12,4,5,5,1,2,0,4,4,12,1,5,5,2,5,5,5,3,5,2,1,4,2,5541.666667
N,1,16,1,12,6,5,5,1,3,3,5,5,12,2,6,3,2,5,5,5,5,1,1,1,2,2,13750
I,9,9,1,3,0,2,3,1,3,0,5,4,3,2,3,5,2,5,4,2,2,3,5,2,1,0,433.3333333
Q,3,14,2,11,8,5,1,1,3,2,1,2,9,1,5,5,1,5,4,5,5,5,5,1,2,1,2423.333333
P,2,16,2,12,5,5,5,1,3,0,3,3,12,1,5,5,2,5,5,5,5,4,5,1,1,2,3250
P,2,18,2,13,2,5,5,2,3,3,1,4,12,3,6,4,2,5,5,5,4,2,5,1,2,2,6333.333333
C,7,12,1,7,1,1,1,1,3,0,1,3,7,1,1,5,1,4,4,3,5,5,5,1,2,1,1408.416667
J,9,9,1,3,0,1,1,1,3,0,3,3,3,1,3,2,2,2,2,4,1,5,5,1,1,1,541.6666667
M,5,16,2,12,2,5,3,1,3,1,1,3,7,1,1,5,3,1,1,2,1,5,5,2,1,0,541.6666667
I,4,14,2,11,4,5,5,1,1,0,3,5,7,1,5,5,1,2,3,5,5,5,5,1,2,1,1747.333333
K,2,12,2,7,4,4,4,1,3,0,2,3,12,2,5,3,1,3,4,5,4,1,5,1,2,2,6416.666667
J,3,16,1,12,5,5,1,1,1,0,1,3,11,1,5,2,3,2,2,5,5,3,5,1,4,3,5041.666667
H,7,9,1,3,0,4,5,1,2,1,4,4,1,1,1,4,3,5,5,2,3,5,5,2,1,0,983.6666667
Q,3,13,2,9,8,5,5,1,3,3,3,3,9,1,1,4,2,5,4,4,4,5,5,1,1,2,2677
M,3,12,2,7,8,4,4,1,3,0,4,3,7,2,1,3,3,3,2,5,5,4,5,1,1,2,2208.333333
G,5,16,2,12,9,5,2,2,3,1,3,5,7,1,5,2,3,2,2,5,2,5,5,1,1,1,755.7333333
C,3,14,1,11,1,1,3,1,1,0,3,2,7,1,1,2,2,5,5,2,4,5,5,1,1,1,7743.583333
K,2,16,2,12,4,3,4,1,3,0,4,3,12,3,6,5,1,5,1,5,5,1,5,1,4,2,16750
J,2,12,1,7,4,5,5,1,1,0,5,4,12,1,3,3,1,2,3,4,4,1,5,1,3,2,4506.666667
L,4,14,2,11,4,1,4,1,3,0,3,4,7,2,2,5,2,3,1,5,3,2,5,1,1,2,1126.666667
R,5,9,1,3,0,5,1,1,1,0,1,3,7,1,3,1,2,5,3,5,1,1,4,1,1,1,1040
I,3,14,1,11,5,4,3,1,3,3,3,4,3,1,1,4,3,3,5,5,3,4,5,1,2,2,1408.333333
I,5,16,2,12,4,2,1,1,3,0,3,1,7,1,5,3,2,1,1,1,1,5,5,1,1,1,1386.666667
P,5,14,2,11,4,5,4,2,3,0,1,3,7,2,1,5,2,2,4,5,4,5,5,1,2,1,1305
I,5,12,2,7,4,1,1,1,1,0,5,3,7,2,1,4,3,3,3,3,1,3,1,2,1,0,1365
H,2,18,2,13,6,5,2,1,3,3,3,1,12,1,6,4,2,5,4,5,4,1,5,1,1,3,6625
C,2,16,1,12,6,5,5,1,2,2,5,5,12,1,5,5,2,5,5,4,5,3,5,1,5,3,7500
H,8,12,1,7,1,1,1,2,2,0,1,2,7,1,3,4,2,1,1,5,2,5,5,1,1,1,2166.666667
G,5,12,1,7,2,5,5,1,3,1,3,5,7,1,1,5,2,5,4,5,4,1,1,1,2,2,12833.33333
H,9,12,1,7,1,1,1,1,1,0,1,4,7,1,1,2,2,1,1,1,1,5,5,1,1,1,7583.333333
F,7,13,1,9,6,4,3,2,2,2,1,4,7,1,6,2,2,5,4,5,5,5,5,1,1,1,5546.666667
K,3,16,1,12,4,4,5,1,2,3,2,5,12,1,6,4,2,5,3,5,4,2,5,1,2,3,5166.666667
J,2,12,1,7,4,3,4,2,1,0,3,3,12,1,3,3,1,4,5,4,5,2,2,1,5,3,3466.666667
F,3,12,1,7,8,1,4,1,3,1,3,5,7,2,1,4,2,3,4,4,4,4,4,2,1,0,2383.333333
F,9,12,1,7,1,5,5,1,1,0,2,5,7,1,3,2,2,5,5,5,4,5,5,2,1,0,1733.333333
S,5,12,2,7,3,5,5,1,3,1,4,1,7,1,1,2,1,5,2,4,2,5,5,1,1,2,2166.666667
Q,2,14,1,11,4,5,5,1,3,1,2,2,11,1,1,4,2,5,3,5,4,5,5,1,1,2,4333.333333
F,9,9,1,3,0,1,2,1,3,1,1,3,7,2,6,2,4,4,5,5,4,5,5,1,1,1,4766.666667
L,2,16,2,12,3,5,2,1,1,0,1,4,12,1,6,3,3,3,4,4,4,1,1,1,2,2,3608.333333
G,3,16,2,12,3,1,1,2,3,1,3,4,13,2,5,5,3,5,4,4,3,4,3,1,1,2,1170
K,3,12,2,7,5,5,5,3,2,0,5,5,11,2,5,5,1,5,5,5,5,1,5,1,5,3,3333.333333
P,2,16,2,12,4,5,3,2,3,0,1,3,11,2,1,3,2,5,3,4,4,5,5,1,1,1,2578.333333
Q,1,21,2,14,4,5,3,1,1,1,2,5,14,1,5,5,2,5,2,4,2,1,2,1,4,2,6500
C,7,12,1,7,6,1,1,1,2,0,1,2,7,1,1,2,4,1,5,5,4,5,5,2,1,0,3355.733333
I,9,18,1,13,9,1,1,1,3,0,5,1,7,2,5,2,1,1,1,1,1,1,5,2,1,0,583.3333333
O,5,12,1,7,8,1,1,2,2,0,5,5,7,2,1,3,5,4,4,4,2,5,4,1,1,2,1841.666667
C,3,16,1,12,7,1,1,1,3,1,3,3,12,1,6,4,2,4,4,5,4,1,5,1,1,2,6750
O,1,16,1,12,4,5,5,2,3,0,5,5,12,1,6,3,2,4,2,3,3,4,2,1,3,2,20833.33333
O,5,16,1,12,5,4,2,2,2,3,2,3,7,1,6,2,1,4,5,5,4,5,2,1,1,1,7973.333333
P,2,18,2,13,2,5,4,2,3,0,1,3,12,1,1,2,2,4,5,5,3,4,4,1,3,2,5000
M,2,18,1,13,6,4,3,1,3,1,2,4,13,1,6,2,2,5,4,5,5,1,1,1,1,2,6416.666667
G,5,12,2,7,5,5,5,1,1,3,1,5,7,1,5,3,1,5,3,5,5,1,5,1,5,1,3467.666667
G,5,13,1,9,9,1,1,1,3,0,5,5,7,1,1,5,1,5,5,5,1,5,1,1,1,1,1508
O,2,16,1,12,4,4,3,2,1,0,3,4,12,1,5,3,1,5,4,5,4,2,2,1,3,2,5416.666667
C,1,18,1,13,2,3,3,1,1,1,4,5,9,1,6,3,1,2,2,2,2,1,5,1,1,2,10833.33333
H,8,12,1,7,6,5,5,1,1,1,1,3,7,1,5,1,2,4,3,5,5,5,5,1,1,2,10840
J,3,12,1,7,3,2,2,1,2,0,2,3,7,2,1,2,3,4,3,5,3,4,4,1,4,2,2665
K,2,14,2,11,3,1,1,2,3,0,4,4,3,3,6,1,1,2,1,3,2,1,1,1,4,2,7000
G,5,16,2,12,1,4,3,1,3,1,4,5,12,2,4,4,2,4,5,3,3,1,4,1,3,2,3466.666667
M,2,19,1,13,4,5,5,2,1,0,3,4,13,1,6,4,1,5,4,5,5,1,1,1,5,2,6791.666667
P,2,18,2,13,2,4,4,2,3,0,2,4,13,1,3,4,1,3,3,5,2,2,5,1,1,2,5750
F,3,16,1,12,4,3,3,1,3,1,5,4,7,1,6,5,2,4,4,3,2,5,5,1,2,2,8321.833333
C,5,9,2,3,0,5,1,1,3,0,2,3,7,2,5,1,2,4,5,4,3,4,5,1,1,1,3065.833333
I,5,9,1,3,0,5,5,1,3,0,2,4,7,2,1,1,3,5,3,5,1,5,1,2,1,0,628.3333333
P,2,18,1,13,2,4,1,3,3,0,2,3,13,2,5,4,2,5,4,5,4,1,2,1,2,2,3970
G,5,12,2,7,1,1,1,1,3,0,1,3,1,1,1,5,2,1,2,4,1,5,5,1,1,1,1547
N,3,12,1,7,4,5,5,1,3,1,1,5,7,2,1,3,1,5,4,5,4,4,3,1,3,2,4640
P,4,16,1,12,4,5,1,1,1,0,2,3,12,2,1,2,2,5,4,5,2,1,5,1,2,1,3676.666667
M,3,12,1,7,6,5,5,1,3,0,2,2,7,1,6,2,2,3,2,5,3,2,3,1,1,1,25783.33333
Q,5,18,2,13,8,1,1,3,3,0,4,3,7,2,4,2,3,1,2,4,2,3,2,1,1,1,97.5
Q,2,19,1,13,8,4,4,3,3,4,2,2,13,1,6,4,1,5,4,5,3,4,3,1,2,1,34583.33333
F,7,6,1,2,0,4,4,1,3,0,5,5,2,1,3,5,1,5,5,5,4,5,5,1,1,1,4732
G,9,12,1,7,1,1,1,1,3,0,2,2,3,1,1,1,3,1,1,4,1,5,5,1,1,1,953.3333333
Q,3,12,1,7,8,3,3,2,3,2,1,3,7,1,5,2,1,4,3,4,2,4,2,2,1,0,4500
G,5,12,1,7,5,5,4,1,3,0,3,4,7,2,4,5,2,5,3,5,3,3,4,1,1,1,839.5833333
J,4,12,2,7,4,5,5,1,1,0,2,4,7,1,1,5,2,4,4,5,3,1,5,1,5,2,3125
Q,4,14,2,11,1,1,1,1,1,0,3,3,7,1,5,5,1,2,3,5,4,1,5,1,1,2,2502.5
L,3,13,2,9,4,4,4,1,1,2,4,3,9,1,6,5,1,5,5,5,3,2,5,1,2,2,6250
K,3,16,1,12,4,5,3,1,1,0,3,5,11,1,5,4,1,5,5,5,4,5,5,1,3,2,6166.666667
O,2,16,2,12,8,4,1,2,2,2,2,3,12,1,5,3,2,4,4,5,4,1,1,1,1,1,4166.666667
I,9,9,1,3,0,1,1,1,3,0,1,2,7,2,3,5,2,1,2,5,2,3,5,1,1,1,2058.333333
C,3,12,1,7,5,4,5,1,3,3,5,2,7,1,4,2,2,4,4,5,4,3,5,1,2,2,5416.666667
C,5,12,1,7,4,1,1,1,3,2,1,2,7,2,5,5,2,3,4,5,4,5,3,1,1,1,4539.333333
C,3,9,2,3,0,1,1,1,2,0,2,3,7,1,1,3,2,1,4,1,1,5,5,2,1,0,1668.333333
M,2,16,1,12,5,4,4,1,1,1,4,3,12,2,5,2,1,4,3,3,3,2,5,1,3,3,7333.333333
O,5,14,2,11,2,5,5,1,3,0,1,4,7,1,1,3,1,5,4,5,5,5,5,1,1,2,2425
C,8,12,2,7,1,1,1,1,3,0,2,2,1,1,1,3,2,2,2,3,2,5,5,2,1,0,2412.5
M,3,18,2,13,8,1,1,1,1,0,2,5,7,1,6,2,2,1,4,5,2,2,5,1,1,2,4158.333333
G,3,16,1,12,4,5,4,1,1,0,2,3,12,2,5,3,1,4,2,5,3,2,3,1,3,2,5000
Q,3,16,2,12,4,3,4,3,1,0,3,4,12,1,5,4,3,4,2,5,4,2,5,1,1,2,3466.666667
K,4,12,2,7,3,4,4,1,2,0,4,3,7,2,5,4,1,5,4,5,2,2,5,1,5,2,2253.333333
Q,2,16,2,12,4,5,5,1,3,3,3,4,7,3,5,3,2,5,5,5,5,5,5,1,1,2,3550
O,5,16,2,12,8,3,1,2,2,0,1,2,7,1,2,2,1,3,1,1,1,5,4,2,1,0,880.0566667
I,1,16,1,12,5,5,1,1,3,3,3,2,7,2,5,5,2,5,3,3,2,5,5,1,2,2,5000
P,2,16,2,12,2,4,1,2,3,0,2,3,12,1,3,2,2,5,5,5,3,5,5,2,1,0,1000
P,1,18,1,13,2,2,2,2,3,3,2,3,13,1,6,5,2,4,3,4,3,2,5,1,4,2,6541.666667
I,9,9,1,3,0,1,1,1,2,0,4,4,3,2,1,5,5,4,1,5,1,5,5,2,1,0,1083.333333
P,2,21,1,14,5,2,1,2,3,1,4,4,14,1,6,2,2,5,5,1,5,1,2,1,2,2,12500
D,3,12,1,7,4,2,2,1,1,0,5,4,7,1,5,5,2,5,4,3,4,3,2,1,4,2,5991.666667
R,2,18,2,13,5,2,2,2,3,0,4,3,12,1,5,3,1,3,3,5,3,4,4,1,3,2,3148.333333
G,5,12,2,7,4,4,4,1,2,1,2,3,3,1,1,5,2,4,3,5,3,5,5,1,1,1,704.1666667
I,5,9,2,3,0,5,5,1,1,0,5,4,1,1,3,5,2,5,3,5,5,4,5,2,1,0,3591.666667
Q,1,14,2,11,8,1,1,3,2,1,1,3,7,3,3,2,1,5,2,4,2,5,5,2,1,0,3500
G,5,12,1,7,4,1,1,1,3,0,3,3,7,1,1,5,2,3,2,5,4,5,5,2,1,0,1300
P,2,16,2,12,3,5,5,3,1,0,5,2,11,1,5,3,1,5,5,5,2,1,5,1,3,2,1950
R,3,18,1,13,4,5,5,1,3,0,3,4,7,2,4,2,1,4,2,2,1,2,1,2,1,0,346.6666667
I,5,12,2,7,1,5,1,1,2,0,4,3,7,2,5,4,2,4,2,5,4,5,5,1,3,1,1445.833333
O,5,16,1,12,4,5,1,2,3,0,2,3,7,1,1,2,2,3,3,3,3,3,3,1,1,1,9533.333333
P,2,18,2,13,2,4,4,2,3,5,3,4,13,1,1,3,1,5,5,5,5,2,5,1,2,2,6833.333333
P,2,18,2,13,3,5,5,1,3,0,4,5,12,1,5,4,2,5,4,5,3,2,5,1,2,2,12083.33333
G,5,16,1,12,3,5,5,1,1,2,3,4,7,3,2,5,2,5,5,5,5,5,5,1,3,2,2166.666667
J,1,16,1,12,6,1,1,1,3,1,3,3,12,1,6,5,2,2,2,1,1,1,5,1,5,3,10916.66667
J,2,16,1,12,3,2,1,1,2,0,2,4,12,2,6,4,1,4,2,5,4,1,5,1,4,3,7800
Q,2,16,2,12,8,5,5,3,2,0,2,3,12,2,4,3,2,5,5,5,3,5,5,1,1,1,4080.96
I,5,9,2,3,0,1,1,2,3,0,3,5,7,1,1,5,2,1,1,1,2,1,5,1,1,1,628.3333333
F,9,9,1,3,0,1,1,1,3,0,1,2,7,2,5,4,1,2,2,5,4,5,5,2,1,0,3900
O,3,16,2,12,3,2,1,2,1,0,3,4,12,2,5,3,2,3,3,4,3,1,1,1,4,2,6833.333333
H,9,14,2,11,8,3,1,1,2,0,3,1,7,1,2,1,2,4,3,5,3,5,5,2,1,0,1365
J,1,16,1,12,6,4,4,1,3,4,5,4,7,1,5,5,2,5,4,5,4,5,5,1,3,2,2600
P,1,14,2,11,4,3,4,2,1,5,3,4,12,2,5,3,1,5,4,3,3,4,5,1,2,2,3166.666667
S,2,16,1,12,7,4,3,3,3,0,3,5,9,1,6,2,2,3,4,5,3,1,4,1,1,2,3033.333333
C,3,14,1,11,6,4,1,1,3,0,2,3,13,1,6,2,1,4,5,4,3,2,5,1,2,2,12666.66667
J,2,16,2,12,6,4,2,1,3,0,3,5,12,3,5,2,2,3,4,5,4,1,5,1,2,3,6333.333333
N,4,16,1,12,9,1,5,1,3,3,3,3,7,3,1,1,2,3,1,5,2,1,5,1,1,2,2513.333333
H,1,16,1,12,1,5,4,1,3,4,2,3,11,2,6,3,2,5,4,3,2,2,5,1,1,2,4416.666667
K,4,16,2,12,4,1,3,1,3,0,1,5,7,1,1,1,2,1,1,4,3,5,5,1,1,1,2318.333333
H,8,12,2,7,5,1,4,2,1,0,2,3,7,2,6,1,2,5,1,5,1,5,5,1,1,1,3120.083333
C,3,12,1,7,4,1,1,1,1,0,1,2,7,3,5,3,2,4,2,5,3,3,5,1,1,2,8541.666667
J,3,14,1,11,6,2,1,1,3,0,3,1,12,3,4,1,2,1,4,3,2,3,5,1,2,2,5250
C,1,16,1,12,5,3,3,1,1,2,5,5,13,2,6,3,2,4,2,5,4,1,5,1,2,3,16166.66667
C,2,16,1,12,5,5,5,1,2,0,2,5,12,2,6,5,2,5,5,5,5,1,5,1,5,3,10250
C,3,14,2,11,4,4,3,1,1,0,5,4,11,1,5,4,2,5,2,5,3,2,5,1,2,2,3369.166667
P,2,18,2,13,4,3,2,3,3,2,5,4,13,1,5,5,5,4,4,4,3,2,1,1,3,2,3333.333333
O,4,12,2,7,4,1,2,2,3,0,5,2,7,1,1,5,2,1,4,3,1,1,5,1,1,2,485.3333333
P,2,16,2,12,2,5,5,2,3,0,2,3,12,1,3,3,2,4,5,5,3,5,5,1,2,1,4416.666667
I,5,14,2,11,2,5,5,1,1,0,2,3,7,2,2,3,2,5,1,5,3,5,5,1,1,1,369.2
O,5,16,1,12,3,5,5,2,1,4,2,3,7,1,1,3,4,3,4,5,4,3,3,1,1,2,5083.333333
C,8,12,1,7,6,1,1,1,1,0,4,5,7,1,5,5,2,5,5,4,2,5,5,1,1,1,5416.666667
P,5,12,2,7,2,2,1,1,3,0,1,1,12,2,6,2,2,2,3,4,2,4,5,1,1,1,1083.333333
C,7,6,1,1,0,5,1,3,3,0,1,4,9,1,6,1,1,3,1,5,5,5,5,1,1,1,3550
P,2,18,2,13,2,2,3,2,3,0,1,3,12,3,4,2,2,3,5,5,3,2,5,1,2,2,6666.666667
I,5,16,2,12,5,1,1,1,3,1,2,4,7,1,3,3,2,5,3,5,4,5,5,2,1,0,1993.333333
S,5,12,2,7,4,1,1,1,1,0,3,2,7,1,1,4,2,4,5,5,1,5,4,2,1,0,1170
G,7,13,1,9,5,1,1,1,2,0,1,3,7,3,5,5,1,5,4,4,3,5,5,1,4,2,2946.666667
Q,5,12,2,7,4,1,1,1,1,0,1,2,9,1,3,5,1,1,1,5,5,1,5,1,2,1,2253.416667
G,5,12,2,7,4,4,1,1,3,1,4,5,7,1,1,3,1,4,3,5,2,4,5,1,1,1,1105
O,9,12,1,7,1,1,1,1,3,0,3,5,7,1,3,4,2,2,1,2,1,1,5,2,1,0,594.5333333
C,3,14,1,11,5,1,3,1,3,0,3,4,9,2,5,5,2,4,2,5,4,4,3,1,5,3,5876
H,1,14,1,11,6,4,2,1,3,4,2,4,11,1,6,5,2,5,4,5,5,3,5,1,5,1,10416.66667
K,4,12,2,7,8,5,4,2,3,0,1,2,7,1,4,5,2,3,1,5,5,1,5,1,3,2,2400
Q,2,19,1,13,8,2,2,3,1,0,2,2,13,1,6,4,2,4,4,5,2,5,3,1,2,1,17916.66667
I,5,12,2,7,4,5,5,2,3,2,2,1,7,2,5,5,2,5,5,5,1,5,5,2,1,0,1993.333333
P,2,21,1,14,3,2,1,2,2,0,4,4,14,1,6,4,1,4,5,4,3,1,1,1,2,2,4750
C,3,18,1,13,6,3,5,1,3,0,3,5,7,3,4,3,2,2,2,5,3,5,5,1,4,2,3206.75
Q,5,12,2,7,3,1,5,2,3,1,5,5,7,3,5,4,2,5,3,4,5,5,5,1,1,1,6350
F,1,12,1,7,4,5,5,1,1,3,3,3,9,2,6,4,3,4,3,4,4,3,5,1,1,2,10833.33333
M,1,16,2,12,4,4,3,1,1,1,4,4,12,1,6,3,4,5,1,5,4,1,5,1,3,2,5250
Q,4,12,2,7,5,4,2,1,2,0,2,2,7,1,5,3,2,5,5,5,4,1,5,1,3,2,3743.74
P,5,13,2,9,9,5,5,1,3,1,1,2,7,1,1,1,2,5,5,5,4,5,5,2,1,0,1300
Q,4,12,2,7,1,5,5,1,1,0,2,5,7,1,5,5,1,5,5,5,5,1,5,1,4,2,1412.5
J,3,16,2,12,4,1,1,1,1,0,2,4,11,2,5,5,1,5,1,5,5,1,5,1,5,3,4506.666667
P,2,16,2,12,5,2,2,2,3,0,2,3,13,2,6,3,2,4,2,5,3,4,5,1,2,2,4212
F,3,13,1,9,6,5,4,1,1,3,1,4,7,1,6,2,1,5,5,5,3,4,4,1,2,1,13333.33333
C,7,14,1,11,6,2,2,1,3,2,2,4,9,1,1,4,1,4,5,5,4,3,4,1,1,2,7666.666667
P,2,19,2,13,2,5,1,2,3,0,3,3,13,1,5,3,1,5,5,5,5,5,5,1,1,2,8233.333333
O,8,12,1,7,6,1,1,2,2,0,1,4,7,1,5,5,2,5,3,5,4,5,5,1,1,1,6833.333333
I,5,14,2,11,4,5,5,1,3,3,2,2,7,1,5,5,2,4,5,5,5,5,5,1,1,1,1733.333333
D,3,14,1,11,6,5,5,1,2,1,2,3,7,1,6,3,2,5,5,4,4,5,5,1,4,2,4416.666667
I,5,14,1,11,2,5,1,1,3,0,4,5,7,1,2,4,3,3,1,4,1,5,5,1,1,1,6500
I,5,12,2,7,4,5,5,2,3,0,1,1,1,1,5,2,2,5,4,4,3,5,5,2,1,0,1126.666667
N,6,12,1,7,1,5,4,1,2,1,5,5,7,1,1,3,2,5,4,4,4,5,5,2,1,0,1950
Q,2,21,1,14,8,5,1,2,3,1,3,5,12,3,5,3,2,4,4,5,4,5,5,1,1,1,6825
F,7,6,1,2,0,2,2,1,3,0,1,4,2,3,6,2,2,4,5,5,5,5,5,2,1,0,3466.666667
Q,2,16,2,12,1,5,5,3,1,0,3,3,12,2,4,4,4,5,3,5,4,4,4,1,1,1,3508.333333
G,5,12,1,7,2,4,4,1,3,0,4,5,7,1,1,2,2,5,2,4,1,5,5,1,1,1,1560
R,5,12,2,7,4,5,1,1,3,0,1,3,7,1,4,5,1,1,1,3,2,5,5,1,5,1,34.66666667
G,5,14,1,11,6,4,3,1,3,3,4,3,7,3,5,5,2,5,5,5,4,5,5,1,3,2,5633.333333
G,5,12,1,7,1,1,1,1,3,0,1,5,1,1,1,5,2,1,1,4,3,5,5,1,1,1,1440.833333
N,9,12,2,7,1,1,1,1,3,0,3,4,7,1,1,2,2,2,4,4,3,5,5,2,1,0,823.3333333
M,1,16,2,12,4,4,2,1,3,1,2,4,12,1,6,2,3,4,4,4,4,1,1,1,5,2,8333.333333
J,5,12,2,7,4,1,1,2,3,1,3,4,3,1,1,2,2,1,2,4,2,4,1,1,1,1,710
Q,1,19,1,13,8,5,4,2,3,5,2,4,13,1,6,4,2,5,4,5,5,1,1,1,4,2,19616.66667
K,1,16,1,12,7,5,3,1,3,1,3,4,12,1,6,4,2,5,3,4,4,1,5,1,3,2,14333.33333
M,4,12,2,7,4,5,2,1,1,0,1,5,7,1,4,5,2,2,3,5,4,1,3,1,4,2,1040
M,1,16,1,12,3,4,3,1,2,3,5,5,12,2,4,4,2,4,3,3,2,1,5,1,3,2,1500
I,1,12,2,7,4,5,5,2,3,1,1,1,2,2,1,5,3,5,5,5,3,5,5,1,1,1,2036.666667
F,7,12,1,7,6,5,2,1,3,1,4,3,7,2,1,1,2,4,4,3,2,4,5,2,1,0,4747.5
O,1,18,1,13,4,4,3,2,1,1,2,5,12,1,6,2,5,3,1,4,4,1,1,1,2,2,7500.083333
Q,2,14,2,11,2,5,4,1,2,0,1,3,7,2,1,2,3,5,5,4,3,5,5,2,1,0,1683.5
P,2,18,2,13,5,3,3,2,1,0,4,5,13,1,6,2,1,5,5,5,3,1,4,1,3,2,6250
P,5,13,2,9,2,5,5,2,3,1,1,4,9,1,1,5,2,5,5,5,4,5,5,1,1,2,1291.666667
K,4,16,2,12,3,4,2,1,3,0,3,4,11,2,5,3,1,5,3,5,3,1,5,1,5,2,2975
G,1,12,1,7,2,5,5,1,1,3,3,5,7,1,5,5,2,5,5,5,4,5,5,1,2,2,3250
P,1,18,2,13,4,5,3,3,3,2,5,5,13,1,6,5,1,5,5,4,3,1,1,1,3,2,9166.666667
T,9,9,2,3,0,1,1,1,3,0,1,1,7,3,3,5,3,1,1,1,1,5,5,2,1,0,1300
P,2,18,2,13,2,2,1,2,3,1,3,3,12,1,5,3,4,5,3,5,5,5,5,1,1,2,4500
C,1,18,1,13,4,3,1,1,3,1,4,3,7,1,5,2,2,4,3,5,5,5,4,1,1,2,3466.666667
Q,3,12,2,7,8,5,1,1,3,2,5,1,7,1,1,1,3,2,5,5,5,1,5,1,1,1,4775
P,2,16,2,12,2,5,5,2,3,1,2,3,12,3,3,3,1,5,5,5,4,5,5,1,2,1,4800
Q,5,18,2,13,9,5,4,1,3,0,4,2,13,1,5,4,2,5,3,4,4,2,5,1,1,2,4000
G,3,16,2,12,8,2,2,1,2,0,2,1,7,2,1,5,2,5,5,5,5,5,5,1,1,1,1546.333333
G,9,12,1,7,3,5,1,1,1,1,3,2,7,2,1,5,2,5,5,3,1,5,5,1,2,1,1989.466667
Q,3,12,2,7,8,5,5,1,3,0,5,5,12,2,5,1,2,5,5,5,4,1,5,1,2,2,2192.333333
G,5,16,2,12,4,3,3,1,1,2,3,3,12,1,6,5,2,5,5,5,2,5,3,1,1,2,656.25
K,2,16,1,12,5,1,1,1,2,0,4,4,12,2,5,3,3,3,2,5,3,1,5,1,4,3,4416.666667
J,7,12,1,7,6,1,1,1,3,0,1,3,7,1,1,3,1,4,2,4,4,5,5,2,1,0,4095
G,3,13,2,9,8,5,1,1,1,0,5,5,7,1,5,4,2,2,3,4,2,4,5,1,1,1,2513.333333
G,5,12,1,7,1,2,4,3,1,2,2,4,7,1,5,2,3,4,5,5,3,5,2,1,2,2,2183.333333
K,1,12,1,7,5,5,5,1,3,4,1,2,12,2,4,5,2,5,5,5,5,1,5,1,1,2,4666.666667
Q,5,12,2,7,4,1,2,1,1,0,3,3,9,3,2,3,2,1,2,4,3,1,4,1,3,1,1245.833333
C,3,14,2,11,4,2,4,1,1,0,1,1,11,3,6,1,2,4,2,5,3,2,5,1,4,2,3000
G,3,12,2,7,8,1,1,2,3,0,2,3,7,2,5,5,1,3,3,5,5,1,5,1,1,1,2346.666667
K,4,16,2,12,4,1,1,1,1,0,1,5,12,2,1,2,2,1,1,5,4,1,5,1,1,1,1991.666667
C,9,12,2,7,1,1,1,1,3,0,4,3,7,1,3,2,2,4,1,2,2,5,5,1,1,1,1800
P,2,18,2,13,2,5,5,2,2,0,1,4,12,1,3,5,1,5,2,5,4,5,5,1,1,2,3500
P,2,18,2,13,8,2,1,2,3,0,1,4,13,1,1,4,2,5,3,4,3,1,1,1,2,2,4000
G,9,9,2,3,0,3,1,1,1,0,3,4,3,3,3,4,1,4,4,4,2,4,5,1,1,1,1072.5
K,2,19,2,13,4,5,5,1,3,4,3,3,13,1,6,5,1,4,4,5,4,1,5,1,5,2,17166.66667
